[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/logout | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/logout | INFO: Run CheckRoute Behavior [ RunTime:0.001066s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/logout | INFO: Tag[ route_check ] --END-- [ RunTime:0.001153s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/logout | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/logout | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000631s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/logout | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000698s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000806s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000889s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000678s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000862s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ view_template ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001240s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001345s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.009740s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009825s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ view_filter ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000519s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000541s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000391s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000531s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002134s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ view_end ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000524s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000576s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/verify.jpg | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/verify.jpg | INFO: Run CheckRoute Behavior [ RunTime:0.001070s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/verify.jpg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001172s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/verify.jpg | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/verify.jpg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000598s ]
[ 2012-05-17T15:40:47+08:00 ] /yiyuan/index.php/admin/public/verify.jpg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000657s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/public/checklogin | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/public/checklogin | INFO: Run CheckRoute Behavior [ RunTime:0.001576s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/public/checklogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001709s ]
