[ 2012-08-24T11:56:47+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --START--
[ 2012-08-24T11:56:47+08:00 ] /licms_ex/index.php/ceshi | INFO: Run CheckRoute Behavior [ RunTime:0.024116s ]
[ 2012-08-24T11:56:47+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --END-- [ RunTime:0.024248s ]
[ 2012-08-24T11:56:47+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T11:56:47+08:00 ] /licms_ex/index.php/ceshi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007191s ]
[ 2012-08-24T11:56:47+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007271s ]
[ 2012-08-24T12:22:33+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --START--
[ 2012-08-24T12:22:33+08:00 ] /licms_ex/index.php/ceshi | INFO: Run CheckRoute Behavior [ RunTime:0.001589s ]
[ 2012-08-24T12:22:33+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --END-- [ RunTime:0.001701s ]
[ 2012-08-24T12:22:33+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T12:22:33+08:00 ] /licms_ex/index.php/ceshi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001118s ]
[ 2012-08-24T12:22:33+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013347s ]
[ 2012-08-24T12:22:33+08:00 ] /licms_ex/index.php/ceshi | NOTIC: [8] Use of undefined constant PHP_SELF - assumed 'PHP_SELF' ceshiAction.class.php 第 9 行.
[ 2012-08-24T12:22:59+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --START--
[ 2012-08-24T12:22:59+08:00 ] /licms_ex/index.php/ceshi | INFO: Run CheckRoute Behavior [ RunTime:0.001055s ]
[ 2012-08-24T12:22:59+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --END-- [ RunTime:0.001139s ]
[ 2012-08-24T12:22:59+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T12:22:59+08:00 ] /licms_ex/index.php/ceshi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000800s ]
